MG0
Egridbuy,EgridSell,Eshort,Esur,Esend,Erec,Tgridbuy,TgridSell,Tshort,Tsur,HgridGuy,Hshort
0,0,0,-0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,462.282,0,462.282,0,0,0
0,0,0,0,0,0,1060.13,0,1060.13,0,0,0
0,0,0,0,0,0,898.385,0,898.385,0,0,0
0,0,0,0,0,0,1121,0,1121,0,109.75,109.75
0,0,0,-0,0,0,1285.54,0,1285.54,0,0,0
0,0,0,-0,0,0,1307.38,0,1307.38,0,3.33334,3.33334
0,0,0,-0,0,0,1112.62,0,1112.62,0,0,0
0,0,0,-0,0,0,1625.92,0,1625.92,0,32,32
0,0,0,-0,0,0,230.52,0,230.52,0,0,0
0,0,0,0,0,0,770.128,0,770.128,0,0,0
0,0,0,0,0,0,1014.46,0,1014.46,0,0,0
0,146.289,0,146.289,0,0,0,0,0,0,0,0
0,-0,0,-0,0,0,1055.08,0,1055.08,0,0,0
0,-0,0,-0,0,0,420.718,0,420.718,0,0,0
0,-0,0,-0,0,0,1332.44,0,1332.44,0,0,0
0,0,0,0,0,0,1612,0,1612,0,0,0
0,-0,0,-0,0,0,1071.92,0,1071.92,0,0,0
0,-0,0,-0,0,0,1126.77,0,1126.77,0,0,0
0,0,0,0,0,0,145.4,0,145.4,0,0,0
0,0,0,0,0,0,1228.31,0,1228.31,0,0,0
0,0,0,0,0,0,229.34,0,229.34,0,0,0
0,711.667,0,711.667,0,0,1148.46,0,1148.46,0,0,0


MG1
Egridbuy,EgridSell,Eshort,Esur,Esend,Erec,Tgridbuy,TgridSell,Tshort,Tsur,HgridGuy,Hshort
0,0,0,-0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,262.828,0,262.828,0,0,0
0,0,0,0,0,0,132.493,0,132.493,0,0,0
0,0,0,0,0,0,497.923,0,497.923,0,0,0
0,0,0,0,0,0,447.808,0,447.808,0,0,0
0,0,0,0,0,0,235.24,0,235.24,0,0,0
0,0,0,-0,0,0,159.04,0,159.04,0,0,0
0,0,0,-0,0,0,492.821,0,492.821,0,0,0
0,0,0,0,0,0,381.718,0,381.718,0,0,0
0,0,0,-0,0,0,641,0,641,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0,0,0,0,0,0,0,0,0
0,228.889,0,228.889,0,0,0,0,0,0,0,0
0,617.756,0,617.756,0,0,0,-0,0,-0,0,0
0,-0,0,-0,0,0,55.02,0,55.02,0,0,0
0,-0,0,-0,0,0,849.195,0,849.195,0,0,0
0,-0,0,-0,0,0,478.288,0,478.288,0,0,0
0,-0,0,-0,0,0,618.231,0,618.231,0,0,0
0,-0,0,-0,0,0,811.119,0,811.119,0,0,0
0,-0,0,-0,0,0,627.923,0,627.923,0,91.9167,91.9167
0,0,0,0,0,0,440.365,0,440.365,0,0,0
0,0,0,0,0,0,611.077,0,611.077,0,0,0
0,0,0,0,0,0,494.256,0,494.256,0,0,0
0,205.333,0,205.333,0,0,766.503,0,766.503,0,0,0


MG2
Egridbuy,EgridSell,Eshort,Esur,Esend,Erec,Tgridbuy,TgridSell,Tshort,Tsur,HgridGuy,Hshort
0,0,0,-0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1089.43,0,1089.43,0,0,0
0,0,0,0,0,0,212.097,0,212.097,0,0,0
1052.63,0,1052.63,0,0,0,1062.69,0,1062.69,0,0,0
0,0,0,0,0,0,1918.5,0,1918.5,0,92,92
516,0,516,0,0,0,171,0,171,0,232,232
0,0,0,0,0,0,1285.54,0,1285.54,0,134.25,134.25
0,0,0,0,0,0,1307.38,0,1307.38,0,136.25,136.25
0,0,0,-0,0,0,1370.31,0,1370.31,0,0,0
0,0,0,-0,0,0,1252.21,0,1252.21,0,0,0
0,0,0,0,0,0,59.52,0,59.52,0,0,0
0,0,0,-0,0,0,15.18,0,15.18,0,0,0
0,-0,0,-0,0,0,356.18,0,356.18,0,0,0
0,12.2889,0,12.2889,0,0,0,0,0,0,0,0
0,-0,0,-0,0,0,29.2508,0,29.2508,0,0,0
0,-0,0,-0,0,0,1806.22,0,1806.22,0,0,0
0,-0,0,-0,0,0,853.405,0,853.405,0,0,0
0,-0,0,-0,0,0,1612,0,1612,0,11,11
0,-0,0,-0,0,0,2493.96,0,2493.96,0,177.75,177.75
0,950,0,950,0,0,1497.92,0,1497.92,0,413,413
0,0,0,0,0,0,574.712,0,574.712,0,115.25,115.25
0,0,0,0,0,0,1439.85,0,1439.85,0,79,79
1052.63,0,1052.63,0,0,0,1208.46,0,1208.46,0,0,0
0,950,0,950,0,0,1995.5,0,1995.5,0,0,0


