Time,Esh,Esur,Tsh,Tsurr,Hsh,Hel,Hload,cAC,CEC,pEB,pEC,pEL,RDG,Eload,tEB,tAC,tLoad
0,0,0,173.02,0,0,526,526,0,332,118.867,132.8,701.333,2250,1297,106.98,0,280
1,0,0,78.94,0,0,405,405,0,329,223.4,131.6,540,2209,1314,201.06,-2.84217e-14,280
2,0,0,305.513,0,0,497,497,39.6667,263.333,0,105.333,662.667,2085,1317,0,30.5128,275
3,0,0,497.923,0,0,468,468,275.5,42.5,0,17,624,1941,1300,0,211.923,286
4,0,0,263.92,0,0,433,433,0,332,27.8667,132.8,577.333,2018,1280,25.08,0,289
5,0,0,235.24,0,0,370,370,0,344,53.0667,137.6,493.333,1993,1309,47.76,0,283
6,0,0,159.04,0,0,500,500,0,344,147.733,137.6,666.667,2266,1314,132.96,0,292
7,0,0,492.821,0,0,578,578,257.167,155.833,0,62.3333,770.667,2405,1572,0,197.821,295
8,0,0,381.718,0,0,529,529,102.333,336.667,0,134.667,705.333,2750,1910,0,78.718,303
9,0,0,641,0,23.75,641.25,665,442,0,0,0,855,2837,1982,0,340,301
10,0,406.222,0,0,0,529,529,0,425,334.444,170,705.333,3589,1973,301,-5.68434e-14,301
11,0,571.489,0,0,0,459,459,0,436,331.111,174.4,612,3821,2132,298,-5.68434e-14,298
12,0,262.622,0,0,0,393,393,0,474,327.778,189.6,524,3306,2002,295,0,295
13,0,617.756,0,0,0,462,462,0,477,334.444,190.8,616,3749,1990,301,0,301
14,0,0,228.04,0,0,419,419,0,494,77.7333,197.6,558.667,2822,1988,69.96,0,298
15,0,0,665.308,0,23.5,499.5,523,471,0,0,0,666,2665,1999,0,362.308,303
16,0,0,651.308,0,178.25,327.75,506,471,0,0,0,437,2436,1999,0,362.308,289
17,0,0,618.231,0,119.75,365.25,485,428,0,0,0,487,2353,1866,0,329.231,289
18,0,0,627.231,0,191.5,259.5,451,428,0,0,0,346,2348,2002,0,329.231,298
19,0,0,627.923,0,229.5,313.5,543,425,0,0,0,418,2394,1976,0,326.923,301
20,0,0,613.385,0,4.5,553.5,558,410,0,0,0,738,2549,1811,0,315.385,298
21,0,0,611.077,0,103.5,457.5,561,407,0,0,0,610,2312,1702,0,313.077,298
22,0,0,494.256,0,0,532,532,266.833,109.167,0,43.6667,709.333,2333,1580,0,205.256,289
23,0,237,582.615,0,0,471,471,370,0,0,0,628,2364,1499,0,284.615,298
