Capacity,0,0,101.417
Time,Eshort,Eshort_real,Esur,Esur_real,Pfc,ptB,pEL,Echg,Edisch,Esoc
0,0,0,86.6444,-0,0,0,86.6444,0,0,0
1,0,0,48.5778,0,0,0,48.5778,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,0,0,-0,0,0,0,0,0,0
7,0,0,0,-0,0,0,0,0,0,0
8,0,0,0,-0,0,0,0,0,0,0
9,0,0,0,-0,0,0,0,0,0,0
10,0,0,0,-0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0
13,0,0,157.956,146.289,0,0,11.6667,0,0,0
14,0,0,0,-0,0,0,0,0,0,0
15,0,0,0,-0,0,0,0,0,0,0
16,0,0,0,-0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
18,0,0,0,-0,0,0,0,0,0,0
19,0,0,0,-0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0
23,0,0,711.667,711.667,0,0,0,0,0,0


Time,Tshort_real,Tshort,Tsur_real,Tsur,Tfc,Tchg,Tdischg,Tsoc
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,462.282,462.282,0,0,0,0,0,0
3,1060.13,1060.13,0,0,0,0,0,0
4,898.385,898.385,0,0,0,0,0,0
5,1121,1121,0,0,0,0,0,0
6,1285.54,1285.54,0,0,0,0,0,0
7,1307.38,1307.38,0,0,0,0,0,0
8,1112.62,1112.62,0,0,0,0,0,0
9,1625.92,1625.92,0,0,0,0,0,0
10,230.52,230.52,0,0,0,0,0,0
11,770.128,770.128,0,0,0,0,0,0
12,1014.46,1014.46,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,1055.08,1055.08,0,0,0,0,0,0
15,420.718,420.718,0,0,0,0,0,0
16,1332.44,1332.44,0,0,0,0,0,0
17,1612,1612,0,0,0,0,0,0
18,1071.92,1071.92,0,0,0,0,0,0
19,1126.77,1126.77,0,0,0,0,0,0
20,145.4,145.4,0,0,0,0,0,0
21,1228.31,1228.31,0,0,0,0,0,0
22,229.34,229.34,0,0,0,0,0,0
23,1148.46,1148.46,0,0,0,0,0,0


Time,Hshort,Hshort_real,Hsur_real,Hsur,Hchg,Hdischg,HFC,Hsoc
0,0,0,0,64.9833,64.9833,0,0,64.9833
1,0,0,0,36.4333,36.4333,0,0,101.417
2,0,0,0,0,0,0,0,101.417
3,0,0,0,0,0,0,0,101.417
4,0,0,0,0,0,0,0,101.417
5,109.75,109.75,0,0,0,0,0,101.417
6,22.5,0,0,0,0,22.5,0,78.9167
7,82.25,3.33334,0,0,0,78.9167,0,0
8,0,0,0,0,0,0,0,0
9,32,32,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,0,0,8.75,8.75,0,0,8.75
14,0,0,0,0,0,0,0,8.75
15,0,0,0,0,0,0,0,8.75
16,0,0,0,0,0,0,0,8.75
17,8.75,0,0,0,0,8.75,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
