Capacity,0,178.371,758.583
Time,Eshort,Eshort_real,Esur,Esur_real,Pfc,ptB,pEL,Echg,Edisch,Esoc
0,0,0,0,-0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,0,0,-0,0,0,0,0,0,0
7,0,0,0,-0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,-0,0,0,0,0,0,0
10,0,0,406.222,0,0,0,406.222,0,0,0
11,0,0,571.489,-0,0,0,571.489,0,0,0
12,0,0,262.622,228.889,0,0,33.7334,0,0,0
13,0,0,617.756,617.756,0,0,0,0,0,0
14,0,0,0,-0,0,0,0,0,0,0
15,0,0,0,-0,0,0,0,0,0,0
16,0,0,0,-0,0,0,0,0,0,0
17,0,0,0,-0,0,0,0,0,0,0
18,0,0,0,-0,0,0,0,0,0,0
19,0,0,0,-0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0
23,0,0,237,205.333,0,0,31.6667,0,0,0


Time,Tshort_real,Tshort,Tsur_real,Tsur,Tfc,Tchg,Tdischg,Tsoc
0,0,173.02,0,0,0,0,173.02,0
1,262.828,78.94,0,0,0,183.888,0,178.371
2,132.493,305.513,0,0,0,0,173.02,0
3,497.923,497.923,0,0,0,0,0,0
4,447.808,263.92,0,0,0,183.888,0,178.371
5,235.24,235.24,0,0,0,0,0,178.371
6,159.04,159.04,0,0,0,0,0,178.371
7,492.821,492.821,0,0,0,0,0,178.371
8,381.718,381.718,0,0,0,0,0,178.371
9,641,641,0,0,0,0,0,178.371
10,0,0,0,0,0,0,0,178.371
11,0,0,0,0,0,0,0,178.371
12,0,0,0,0,0,0,0,178.371
13,0,0,-0,0,0,0,0,178.371
14,55.02,228.04,0,0,0,0,173.02,0
15,849.195,665.308,0,0,0,183.888,0,178.371
16,478.288,651.308,0,0,0,0,173.02,0
17,618.231,618.231,0,0,0,0,0,0
18,811.119,627.231,0,0,0,183.888,0,178.371
19,627.923,627.923,0,0,0,0,0,178.371
20,440.365,613.385,0,0,0,0,173.02,0
21,611.077,611.077,0,0,0,0,0,0
22,494.256,494.256,0,0,0,0,0,0
23,766.503,582.615,0,0,0,183.888,0,178.371


Time,Hshort,Hshort_real,Hsur_real,Hsur,Hchg,Hdischg,HFC,Hsoc
0,0,0,0,0,0,0,0,23.75
1,0,0,0,0,0,0,0,23.75
2,0,0,0,0,0,0,0,23.75
3,0,0,0,0,0,0,0,23.75
4,0,0,0,0,0,0,0,23.75
5,0,0,0,0,0,0,0,23.75
6,0,0,0,0,0,0,0,23.75
7,0,0,0,0,0,0,0,23.75
8,0,0,0,0,0,0,0,23.75
9,23.75,0,0,0,0,23.75,0,0
10,0,0,0,304.667,304.667,0,0,304.667
11,0,0,0,428.617,428.617,0,0,733.283
12,0,0,0,25.3,25.3,0,0,758.583
13,0,0,0,0,0,0,0,758.583
14,0,0,0,0,0,0,0,758.583
15,23.5,0,0,0,0,23.5,0,735.083
16,178.25,0,0,0,0,178.25,0,556.833
17,119.75,0,0,0,0,119.75,0,437.083
18,191.5,0,0,0,0,191.5,0,245.583
19,229.5,91.9167,0,0,0,137.583,0,108
20,4.5,0,0,0,0,4.5,0,103.5
21,103.5,0,0,0,0,103.5,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,23.75,23.75,0,0,23.75
