Capacity,1000,821.629,140
Time,Eshort,Eshort_real,Esur,Esur_real,Pfc,ptB,pEL,Echg,Edisch,Esoc
0,0,0,0,-0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,1052.63,0,0,0,0,0,1052.63,0,1000
4,0,0,0,0,0,0,0,0,0,1000
5,516,516,0,0,0,0,0,0,0,1000
6,0,0,0,0,0,0,0,0,0,1000
7,0,0,0,0,0,0,0,0,0,1000
8,0,0,0,-0,0,0,0,0,0,1000
9,0,0,0,-0,0,0,0,0,0,1000
10,0,0,0,0,0,0,0,0,0,1000
11,0,0,0,-0,0,0,0,0,0,1000
12,0,0,0,-0,0,0,0,0,0,1000
13,0,0,198.956,12.2889,0,0,186.667,0,0,1000
14,0,0,0,-0,0,0,0,0,0,1000
15,0,0,0,-0,0,0,0,0,0,1000
16,0,0,0,-0,0,0,0,0,0,1000
17,0,0,0,-0,0,0,0,0,0,1000
18,0,0,0,-0,0,0,0,0,0,1000
19,0,0,0,950,0,0,0,0,950,0
20,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0
22,0,1052.63,0,0,0,0,0,1052.63,0,1000
23,0,0,186.667,950,0,0,186.667,0,950,0


Time,Tshort_real,Tshort,Tsur_real,Tsur,Tfc,Tchg,Tdischg,Tsoc
0,0,563.667,0,0,0,0,563.667,240.529
1,1089.43,490.359,0,0,0,599.072,0,821.629
2,212.097,1009.08,0,0,0,0,796.98,0
3,1062.69,1062.69,0,0,0,0,0,0
4,1918.5,1071.46,0,0,0,847.04,0,821.629
5,171,171,0,0,0,0,0,821.629
6,1285.54,1285.54,0,0,0,0,0,821.629
7,1307.38,1307.38,0,0,0,0,0,821.629
8,1370.31,1370.31,0,0,0,0,0,821.629
9,1252.21,1252.21,0,0,0,0,0,821.629
10,59.52,59.52,0,0,0,0,0,821.629
11,15.18,15.18,0,0,0,0,0,821.629
12,356.18,356.18,0,0,0,0,0,821.629
13,0,0,0,0,0,0,0,821.629
14,29.2508,826.231,0,0,0,0,796.98,0
15,1806.22,959.18,0,0,0,847.04,0,821.629
16,853.405,1650.38,0,0,0,0,796.98,0
17,1612,1612,0,0,0,0,0,0
18,2493.96,1646.92,0,0,0,847.04,0,821.629
19,1497.92,1497.92,0,0,0,0,0,821.629
20,574.712,1371.69,0,0,0,0,796.98,0
21,1439.85,1439.85,0,0,0,0,0,0
22,1208.46,1208.46,0,0,0,0,0,0
23,1995.5,1148.46,0,0,0,847.04,0,821.629


Time,Hshort,Hshort_real,Hsur_real,Hsur,Hchg,Hdischg,HFC,Hsoc
0,0,0,0,0,0,0,0,140
1,0,0,0,0,0,0,0,140
2,29.75,0,0,0,0,29.75,0,110.25
3,99.5,0,0,0,0,99.5,0,10.75
4,102.75,92,0,0,0,10.75,0,0
5,232,232,0,0,0,0,0,0
6,134.25,134.25,0,0,0,0,0,0
7,136.25,136.25,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,0,0,140,140,0,0,140
14,0,0,0,0,0,0,0,140
15,0,0,0,0,0,0,0,140
16,22.25,0,0,0,0,22.25,0,117.75
17,128.75,11,0,0,0,117.75,0,0
18,177.75,177.75,0,0,0,0,0,0
19,273,413,0,0,140,0,0,140
20,115.25,115.25,0,0,0,0,0,140
21,219,79,0,0,0,140,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,140,140,0,0,140
