Time,rdg,Pgridbuy,Pgridsell,Pshort,Psur,Pchg,Pdischg,Psoc,bin,load
0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,1,0
5,0,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,0,0,0,1,0
7,100,0,90,0,90,0,0,0,1,10
8,15,0,0,0,0,0,0,0,1,15
9,20,0,-0,0,-0,0,0,0,1,20
10,230,0,0,0,0,0,0,0,1,230
11,280,0,0,0,0,0,0,0,1,280
12,330,0,0,0,0,0,0,0,1,330
13,350,0,0,0,0,0,0,0,1,350
14,340,0,0,0,0,0,0,0,1,340
15,310,0,0,0,0,0,0,0,1,310
16,350,0,0,0,0,0,0,0,1,350
17,50,50,0,50,0,0,0,0,1,100
18,0,0,-0,0,-0,0,0,0,1,0
19,0,0,0,0,0,0,0,0,1,0
20,0,0,-0,0,-0,0,0,0,1,0
21,0,0,0,0,0,0,0,0,1,0
22,0,0,0,0,0,0,0,0,1,0
23,0,0,0,0,0,0,0,0,1,0


Time,rdg,Pgridbuy,Pgridsell,Pshort,Psur,Pchg,Pdischg,Psoc,bin,load
0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0
3,0,1000,0,1000,0,1000,0,1000,1,0
4,0,0,0,0,0,0,0,1000,1,0
5,0,0,0,0,0,0,0,1000,1,0
6,0,0,0,0,0,0,0,1000,1,0
7,10,0,-0,0,-0,0,0,1000,1,10
8,15,0,0,0,0,0,0,1000,1,15
9,20,0,1000,0,1000,0,1000,0,0,20
10,230,0,-0,0,-0,0,0,0,1,230
11,10,270,0,270,0,0,0,0,1,280
12,330,0,0,0,0,0,0,0,1,330
13,350,0,0,0,0,0,0,0,1,350
14,340,1000,0,1000,0,1000,0,1000,1,340
15,310,0,0,0,0,0,0,1000,1,310
16,350,0,0,0,0,0,0,1000,1,350
17,100,0,-0,0,-0,0,0,1000,1,100
18,0,0,1000,0,1000,0,1000,0,0,0
19,0,0,-0,0,-0,0,0,0,1,0
20,0,0,0,0,0,0,0,0,1,0
21,0,0,-0,0,-0,0,0,0,1,0
22,0,0,-0,0,-0,0,0,0,1,0
23,0,0,0,0,0,0,0,0,1,0


Time,rdg,Pgridbuy,Pgridsell,Pshort,Psur,Pchg,Pdischg,Psoc,bin,load
0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,1,0
5,0,0,0,0,0,0,0,0,1,0
6,0,0,-0,0,-0,0,0,0,1,0
7,10,0,0,0,0,0,0,0,1,10
8,15,0,-0,0,-0,0,0,0,1,15
9,20,0,-0,0,-0,0,0,0,1,20
10,230,0,-0,0,-0,0,0,0,1,230
11,280,0,-0,0,-0,0,0,0,1,280
12,330,0,0,0,0,0,0,0,1,330
13,350,0,0,0,0,0,0,0,1,350
14,340,0,0,0,0,0,0,0,1,340
15,310,0,0,0,0,0,0,0,1,310
16,350,0,0,0,0,0,0,0,1,350
17,100,0,0,0,0,0,0,0,1,100
18,0,0,-0,0,-0,0,0,0,1,0
19,0,0,-0,0,-0,0,0,0,1,0
20,0,0,0,0,0,0,0,0,1,0
21,0,0,-0,0,-0,0,0,0,1,0
22,0,0,0,0,0,0,0,0,1,0
23,0,0,-0,0,-0,0,0,0,1,0


