YEAR,MO,DY,HR,T2M,WS50M,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2022,1,1,0,5.83,8.11,0,0,0,0
2022,1,1,1,5.75,7.94,0,0,0,0
2022,1,1,2,5.67,7.74,0,0,0,0
2022,1,1,3,5.59,7.47,0,0,0,0
2022,1,1,4,5.55,7.18,0,0,0,0
2022,1,1,5,5.54,6.79,0,0,0,0
2022,1,1,6,5.51,6.29,0,0,0,0
2022,1,1,7,5.95,5.85,0.02,4.01,87.69,94.33
2022,1,1,8,6.33,5.59,0.1,10.8,250.04,247.92
2022,1,1,9,6.62,5.5,0.26,17.8,387.73,390.92
2022,1,1,10,6.81,4.97,0.4,22.47,470.9,476.3
2022,1,1,11,6.95,4.25,0.56,28.95,560.53,576.48
2022,1,1,12,7.19,3.77,0.49,26.37,505.74,553.95
2022,1,1,13,7.48,3.56,0.33,20.92,417.29,467
2022,1,1,14,7.71,3.25,0.16,13.59,277.16,323.27
2022,1,1,15,7.81,2.84,0.03,5.53,119.66,147.9
2022,1,1,16,7.73,2.5,0,0.5,12.55,12.1
2022,1,1,17,7.82,2.16,0,0,0,0
2022,1,1,18,7.9,1.98,0,0,0,0
2022,1,1,19,7.93,1.73,0,0,0,0
2022,1,1,20,7.98,1.63,0,0,0,0
2022,1,1,21,8.14,1.93,0,0,0,0
2022,1,1,22,8.24,2.32,0,0,0,0
2022,1,1,23,8.35,2.81,0,0,0,0
2022,1,2,0,8.34,3.31,0,0,0,0
2022,1,2,1,8.22,3.67,0,0,0,0
2022,1,2,2,8.1,3.98,0,0,0,0
2022,1,2,3,8.05,4.3,0,0,0,0
2022,1,2,4,8.06,4.44,0,0,0,0
2022,1,2,5,8.1,4.2,0,0,0,0
2022,1,2,6,8.22,3.84,0,0,0,0
2022,1,2,7,8.77,3.64,0.02,3.25,64.44,106.65
2022,1,2,8,9.56,3.63,0.09,8.59,172.66,271.77
2022,1,2,9,10,3.74,0.24,15.38,282.58,418.77
2022,1,2,10,10.4,4.19,0.33,17.12,329.38,518.02
2022,1,2,11,10.75,5,0.48,23.36,418.06,572.45
2022,1,2,12,10.99,5.86,0.37,18.41,328.77,545.15
2022,1,2,13,11.13,6.5,0.3,17.81,317.84,460.48
2022,1,2,14,11.06,6.9,0.14,11.95,218.16,322.48
2022,1,2,15,10.8,7.17,0.03,4.87,95.37,141.52
2022,1,2,16,10.19,7.34,0,0.55,13.68,12.15
2022,1,2,17,9.73,7.36,0,0,0,0
2022,1,2,18,9.34,7.21,0,0,0,0
2022,1,2,19,8.71,6.89,0,0,0,0
