Time,Pload+Pec,Hload+Hac,Cload,CGbuy,CGsell,CHsell,CHbuy,Rdg,PGshort/sur,statoc,Bchg/dischg,Pdg,Pchp,Hhob,Hchp,HGshort/sur,Hchg/dischg,MgSend/rec,Pevchg/dischg1,Pevchg/dischg2,Pevchg/dischg3,Pevchg/dischg4,Pevchg/dischg5
1,169,247.647,100,138,128,75,77,0,0,0.946289,-117.835,100,140,0,136,111.647,0,46.8351,0,0,0,0,0
2,175,242.647,100,139,129,75,77,0,0,1,-8.4807,13.4807,140,0,136,106.647,0,30,0,0,0,0,0
3,179,214.118,80,143,133,75,77,0,0,1,0,100,140,0,136,78.1176,0,-52.4889,-8.51111,0,0,0,0
4,171,237.647,100,149,139,75,77,0,-207,1,0,100,140,0,136,101.647,0,138,0,0,0,0,0
5,181,266.176,120,150,140,75,77,0,-369.5,1,0,180,140,0,136,130.176,0,246.333,0,-15.8333,0,0,0
6,190,293.824,135,152,142,75,77,0,-390,1,0,180,140,0,136,157.824,0,260,0,0,0,0,0
7,270,326.471,150,155,145,75,77,0,-150,1,0,180,140,0,136,190.471,0,100,0,0,0,0,0
8,264,318.824,135,158,148,75,77,10,-198,1,0,180,140,0,136,182.824,0,132,0,0,0,0,0
9,273,322.059,125,160,150,80,83,15,-186,1,0,180,140,80,136,82.3088,23.75,124,0,0,0,0,0
10,281,342.941,130,154,144,80,83,20,-168.707,1,0,180,140,80,136,126.941,0,112.471,0,0,-12.8444,10.08,0
11,300,359.706,140,153,143,80,83,23,-129,1,0,180,140,80,136,143.706,0,86,0,0,0,0,0
12,320,376.471,150,153,143,80,83,28,-84,1,0,180,140,80,136,160.471,0,56,0,0,0,0,0
13,280,371.471,150,152,142,80,83,33,-219,1,0,180,140,80,136,155.471,0,146,0,0,0,0,0
14,260,347.941,130,150,140,80,83,35,-285,1,0,180,140,80,136,131.941,0,190,0,0,0,0,0
15,250,321.176,120,149,139,80,83,34,-67.6667,1,0,100,140,80,136,105.176,0,48,0,0,0,0,-4.33333
16,200,299.412,110,149,139,80,83,31,0,1,0,100,140,80,136,250.235,0,-69.5556,0,0,0,0,-1.44444
17,180,290.882,90,154,144,80,83,28,-504,1,0,180,140,80,136,0,0,336,0,0,0,0,0
18,190,284.118,80,156,146,80,83,10,-420,1,0,180,140,80,136,204.353,0,280,0,0,0,0,0
19,240,353.824,135,163,153,78,78,0,-240,1,0,180,140,0,136,217.824,0,160,0,0,0,0,0
20,280,376.471,150,164,154,78,78,0,-315,0,142.5,180,140,0,136,240.471,0,132.5,0,0,0,0,0
21,325,353.824,135,164,154,78,78,0,-127.5,0,0,180,140,0,136,217.824,0,132.5,0,0,0,0,0
22,350,354.706,140,160,150,78,78,0,0,0,0,180,140,0,136,218.706,0,30,0,0,0,0,0
23,300,309.412,110,150,140,78,78,0,-60,0,0,180,140,0,136,173.412,0,40,0,0,0,0,0
24,250,322.059,125,148,138,78,78,0,0,0,0,100,140,0,136,186.059,0,10,0,0,0,0,0
