Mg1Send/rec,mg1buy_sell,Mg2Send/rec,mg2buy_sell,Mg3Send/rec,mg3buy_sell
160.579,0,-490.158,565.737,329.579,0,
40.2632,0,-47.7368,0,7.47368,207.789,
-48.2784,0,-82.4433,0,130.722,0,
2.47368,0,-129.737,0,127.263,0,
-96.2982,99.4474,-87.8509,0,184.149,0,
12.1053,0,-82.8947,0,70.7895,0,
-50,0,-170,0,220,0,
-66,0,-198,0,264,0,
-60.5837,7.66268,-173.995,0,234.579,0,
80.6066,0,-442.213,381.82,361.607,0,
104.368,0,-508.737,463.105,404.368,0,
-419.789,549.684,-30.1053,0,449.895,0,
-309.789,394.684,-55.1053,0,364.895,0,
41.8421,0,-88.1579,0,46.3158,255.526,
22.3158,0,-294.632,191.947,272.316,0,
-35.2105,0,-129.579,0,164.789,0,
-67.4854,0,-45.0292,0,112.515,0,
-55.7895,0,-78.4211,-72.3684,134.211,0,
-80,0,-80,0,160,0,
-60,0,-180,0,240,0,
5,0,-300.5,0,295.5,0,
30,0,-145,0,115,265,
95.7895,0,-491.579,437.368,395.789,0,
61.5789,0,-63.4211,0,1.84211,309.737,
