Time,Pload+Pec,Hload+Hac,Cload,CGbuy,CGsell,CHsell,CHbuy,Rdg1,PGbuy/sell,statoc,Bchg/dischg,Pdg1,Pdg2,Pchp1,Pchp2,Hhob,Hchp1,Hchp2,HGbuy/sell,Hchg/dischg,Pevchg/dischg1,Pevchg/dischg2,Pevchg/dischg3,Pevchg/dischg4,Pevchg/dischg5
1,169.579,247,100,138,128,75,77,0,0.0900483,0.462904,-41.5111,51,0,60,100,0,72,80,95,0,0,0,0,0,0
2,175.579,242,100,139,129,75,77,0,0,0.99757,-84.4211,100,0,60,100,0,72,80,90,0,0,0,0,0,0
3,179.105,214,80,143,133,75,77,0,0,1,-0.38363,28,0,60,100,0,72,80,62,0,-8.51111,0,0,0,0
4,171.579,237,100,149,139,75,77,0,-88.4211,1,0,100,0,60,100,0,72,80,85,0,0,0,0,0,0
5,181.158,266,120,150,140,75,77,0,-143.009,1,0,100,80,60,100,0,72,80,114,0,0,-15.8333,0,0,0
6,190.737,293,135,152,142,75,77,0,-149.263,1,0,100,80,60,100,0,72,80,141,0,0,0,0,0,0
7,270.421,326,150,155,145,75,77,0,-69.579,1,0,100,80,60,100,0,72,80,174,0,0,0,0,0,0
8,264.737,318,135,158,148,75,77,10,-85.2632,1,0,100,80,60,100,0,72,80,166,0,0,0,0,0,0
9,273.053,322,125,160,150,80,83,15,-81.9474,1,0,100,80,60,100,80,72,80,90,0,0,0,0,0,0
10,281.842,342,130,154,144,80,83,20,-75.3935,1,0,100,80,60,100,80,72,80,110,0,0,0,-12.8444,10.08,0
11,300.632,359,140,153,143,80,83,23,-62.3684,1,0,100,80,60,100,80,72,80,127,0,0,0,0,0,0
12,320.421,376,150,153,143,80,83,28,-47.579,1,0,100,80,60,100,80,72,80,121,23,0,0,0,0,0
13,280.421,371,150,152,142,80,83,33,-92.579,1,0,100,80,60,100,80,72,80,139,0,0,0,0,0,0
14,260.842,347,130,150,140,80,83,35,-114.158,1,0,100,80,60,100,80,72,80,115,0,0,0,0,0,0
15,250.158,321,120,149,139,80,83,34,-38.0643,1,0,100,0,60,100,80,72,80,89,0,0,0,0,0,-5.77778
16,200.368,299,110,149,139,80,83,31,-90.6316,1,0,100,0,60,100,80,72,80,67,0,0,0,0,0,0
17,180.789,290,90,154,144,80,83,28,-187.211,1,0,100,80,60,100,80,72,80,58,0,0,0,0,0,0
18,190.105,284,80,156,146,80,83,10,-159.895,1,0,100,80,60,100,80,72,80,52,0,0,0,0,0,0
19,240.737,353,135,163,153,78,78,0,-99.2632,1,0,100,80,60,100,0,72,80,201,0,0,0,0,0,0
20,280.421,376,150,164,154,78,78,0,-159.579,0.298246,100,100,80,60,100,0,72,80,224,0,0,0,0,0,0
21,325.737,353,135,164,154,78,78,0,-46.1316,0.0746075,31.8684,100,80,60,100,0,72,80,201,0,0,0,0,0,0
22,350.632,354,140,160,150,78,78,0,0,0,10.6316,100,80,60,100,0,72,80,202,0,0,0,0,0,0
23,300.368,309,110,150,140,78,78,0,-39.6316,0,0,100,80,60,100,0,72,80,157,0,0,0,0,0,0
24,250.053,322,125,148,138,78,78,0,-9.94737,0,0,100,0,60,100,0,72,80,170,0,0,0,0,0,0
