Mg1send/rec,Mg1short/sur,mg1buy/sell,Mg2send/rec,Mg2short/sur,mg2buy/sell,Mg3send/rec,Mg3short/sur,mg3buy/sell,short,mg_trade,grid_trade
0,-114,114,0,0,0,0,-283,283,397,,
0,-46,46,0,0,0,0,-221,221,267,,
0,0,0,0,0,0,0,-112,112,112,,
0,0,0,-70,70,0,70,-107,37,37,,
0,0,0,-28,28,0,28,-164,136,136,,
-8,8,0,-103,103,0,111,-182,71,71,,
0,-6,6,-47,47,0,47,-201,154,160,,
0,0,0,-76,76,0,76,-179,103,103,,
0,0,0,-88,88,0,88,-322,234,234,,
53,-53,0,-80,80,0,27,-342,315,315,,
66,-84,18,-66,66,0,0,-384,384,402,,
50,-106,56,-50,50,0,0,-430,430,486,,
65,-65,0,-75,75,0,10,-345,335,335,,
22,-22,0,-28,28,0,6,-282,276,276,,
2,-2,0,-37,37,0,35,-257,222,222,,
0,0,0,-75,75,0,75,-145,70,70,,
-87,93,-6,0,183,-183,87,-87,0,-189,,
-76,76,0,-38,171,-133,114,-114,0,-133,,
0,0,0,-78,78,0,78,-140,62,62,,
0,0,0,-84,84,0,84,-121,37,37,,
0,0,0,-138,138,0,138,-270,132,132,,
0,0,0,-18,18,0,18,-361,343,343,,
0,-76,76,0,0,0,0,-376,376,452,,
4,-41,37,-4,4,0,0,-291,291,328,,
