Time,Pload+Pec,Hload+Hac,Cload,CGbuy,CGsell,CHsell,CHbuy,Rdg1,PGbuy/sell,statoc,Bchg/dischg,Pdg1,Pdg2,Pchp1,Pchp2,Hhob,Hchp1,Hchp2,HGbuy/sell,Hchg/dischg,Pevchg/dischg1,Pevchg/dischg2,Pevchg/dischg3,Pevchg/dischg4,Pevchg/dischg5
1,169.579,247,100,138,128,75,77,0,0,0.462333,-41.4211,51,0,60,100,0,72,80,95,0,0,0,0,0,0
2,175.579,242,100,139,129,75,77,0,0,0.997,-84.4211,100,0,60,100,0,72,80,90,0,0,0,0,0,0
3,179.105,214,80,143,133,75,77,0,0,0.997333,-0.0526218,28,0,60,100,0,72,80,62,0,-8.84212,0,0,0,0
4,171.579,237,100,149,139,75,77,0,-88,1,-0.421056,100,0,60,100,0,72,80,85,0,0,0,0,0,0
5,181.158,266,120,150,140,75,77,0,-142,1,0,100,79,60,100,0,72,80,114,0,0,-15.8421,0,0,0
6,190.737,293,135,152,142,75,77,0,-149,1,-1.89476e-09,100,80,60,100,0,72,80,141,0,0,-0.263162,0,0,0
7,270.421,326,150,155,145,75,77,0,-69,1,0,100,80,60,100,0,72,80,181,-7,0.268116,0,-0.847067,0,0
8,264.737,318,135,158,148,75,77,10,-89,0.968078,4.54894,100,80,60,100,0,72,80,166,0,0,0,-0.812104,0,0
9,273.053,322,125,160,150,80,83,15,-83,0.960691,1.05263,100,80,60,100,80,72,80,88,2,0,0,0,0,0
10,281.842,342,130,154,144,80,83,20,-75,0.960691,0,100,80,60,100,80,72,80,106,4,0,0,-11.1853,8.02737,0
11,300.632,359,140,153,143,80,83,23,-63,0.960691,0,100,80,60,100,80,72,80,126,1,0,0,0,0.631575,0
12,320.421,376,150,153,143,80,83,28,-49,0.960691,0,100,80,60,100,80,72,80,144,0,0,0,0,1.42105,0
13,280.421,371,150,152,142,80,83,33,-92,0.960691,0,100,80,60,100,80,72,80,138,1,0,0,0,-1.8947e-09,-0.578951
14,260.842,347,130,150,140,80,83,35,-114,0.960691,0,100,80,60,100,80,72,80,115,0,0,0,0,0,-0.157898
15,250.158,321,120,149,139,80,83,34,-40,0.985024,-3.84211,100,0,60,100,80,72,80,89,0,0,0,0,0,0
16,200.368,299,110,149,139,80,83,31,-85,0.990098,-0.801184,100,0,60,100,80,72,80,66,1,0,0,0,0,-4.8304
17,180.789,290,90,154,144,80,83,28,-187,0.990098,0,100,80,60,100,80,72,80,57,1,0,0,0,0,-0.21053
18,190.105,284,80,156,146,80,83,10,-160,0.98936,0.10526,100,80,60,100,80,72,80,32,20,0,0,0,0,0
19,240.737,353,135,163,153,78,78,0,-99,0.991026,-0.263162,100,80,60,100,0,72,80,201,0,0,0,0,0,0
20,280.421,376,150,164,154,78,78,0,-90,0.777545,30.421,100,80,60,100,0,72,80,224,0,0,0,0,0,0
21,325.737,353,135,164,154,78,78,0,-114,0.0776376,99.7368,100,80,60,100,0,72,80,201,0,0,0,0,0,0
22,350.632,354,140,160,150,78,78,0,0,0.00303004,10.6316,100,80,60,100,0,72,80,202,0,0,0,0,0,0
23,300.368,309,110,150,140,78,78,0,0,0.000444655,0.368417,100,40,60,100,0,72,80,157,0,0,0,0,0,0
24,250.053,322,125,148,138,78,78,0,-10,7.5336e-05,0.052628,100,0,60,100,0,72,80,170,0,0,0,0,0,0
