Time,Pload+Pec,Hload+Hac,Cload,CGbuy,CGsell,CHsell,CHbuy,Rdg1,PGshort/sur,statoc,Bchg/dischg,Pdg1,Pdg2,Pchp1,Pchp2,Hhob,Hchp1,Hchp2,HGshort/sur,Hchg/dischg,Pevchg/dischg1,Pevchg/dischg2,Pevchg/dischg3,Pevchg/dischg4,Pevchg/dischg5
1,443.263,260,100,138,128,135,138,0,283,0.831667,-99.7368,100,0,60,100,80,72,80,36,-8,0,0,0,0,0
2,455.263,250,100,139,129,135,138,0,221,0.994667,-25.7368,100,0,60,100,80,72,80,18,0,0,0,0,0,0
3,442.211,240,80,143,133,135,138,0,112,1,-0.842099,100,80,60,100,80,72,80,8,0,-8.94738,0,0,0,0
4,447.263,240,100,149,139,135,138,0,107,0.998153,0.263154,100,80,60,100,80,72,80,8,0,0,0,0,0,0
5,488.316,250,120,150,140,135,138,0,164,0.998153,0,100,80,60,100,80,72,80,18,0,0,-15.6842,0,0,0
6,522.105,270,135,152,142,135,138,0,182,0.997415,0.10526,100,80,60,100,80,72,80,38,0,0,0,0,0,0
7,541.316,475,150,155,145,135,138,0,201,0.997415,0,100,80,60,100,80,72,80,243,0,0.315786,0,0,0,0
8,528.737,478,135,158,148,135,138,10,179,0.997415,0,100,80,60,100,80,72,80,246,0,0,-0.149119,-0.114042,0,0
9,677.579,350,125,160,150,144,149,15,322,0.992563,0.691306,100,80,60,100,80,72,80,118,0,0,0,-0.112362,0,0
10,698.842,380,130,154,144,144,149,20,342,0.992563,0,100,80,60,100,80,72,80,148,0,0,0,-12.618,9.46014,0
11,747.368,390,140,153,143,144,149,23,384,0.992563,0,100,80,60,100,80,72,80,158,0,0,0,0,0.368417,0
12,797.895,400,150,153,143,144,149,28,430,0.992563,0,100,80,60,100,80,72,80,168,0,0,0,0,0.25144,-0.356707
13,717.895,390,150,152,142,144,149,33,345,0.992563,0,100,80,60,100,80,72,80,158,0,0,0,0,0,-0.105267
14,656.842,390,130,150,140,144,149,35,282,0.992563,0,100,80,60,100,80,72,80,158,0,0,0,0,0,-0.157898
15,626.316,360,120,149,139,144,149,34,257,0.992563,0,100,80,60,100,80,72,80,128,0,0,0,0,0,-4.68421
16,515.789,340,110,149,139,144,149,31,145,0.992563,0,100,80,60,100,80,72,80,108,0,0,0,0,0,-0.21053
17,454.737,370,90,154,144,144,149,28,87,0.992563,0,100,80,60,100,80,72,80,108,30,0,0,0,0,-0.263162
18,464.211,380,80,156,146,144,149,10,114,0.991086,0.210523,100,80,60,100,80,72,80,148,0,0,0,0,0,0
19,480.737,548,135,163,153,140,140,0,140,0.985915,0.736838,100,80,60,100,80,72,80,316,0,0,0,0,0,0
20,560.421,576,150,164,154,140,140,0,121,0.288224,99.421,100,80,60,100,80,72,80,344,0,0,0,0,0,0
21,650.737,548,135,164,154,140,140,0,270,0.00235108,40.7368,100,80,60,100,80,72,80,316,0,0,0,0,0,0
22,700.632,544,140,160,150,140,140,0,361,0.00468444,-0.368425,100,80,60,100,80,72,80,312,0,0,0,0,0,0
23,715.789,360,110,150,140,140,140,0,376,0.0060178,-0.21053,100,80,60,100,80,72,80,128,0,0,0,0,0,0
24,631.579,350,125,148,138,140,140,0,291,0.00195503,0.578944,100,80,60,100,80,72,80,118,0,0,0,0,0,0
