,YEAR,MO,DY,HR,WS50M,ALLSKY_SFC_SW_DWN,T2M,Season,Load,Price
0,2022,6,2,0,3.09,0.0,13.83,Summer,1109,0.05
1,2022,6,2,1,3.24,0.0,13.62,Summer,1170,0.05
2,2022,6,2,2,3.77,0.0,13.42,Summer,1164,0.05
3,2022,6,2,3,4.47,0.0,13.42,Summer,1139,0.05
4,2022,6,2,4,4.76,13.9,13.82,Summer,1136,0.05
5,2022,6,2,5,4.38,71.87,16.15,Summer,1167,0.05
6,2022,6,2,6,3.92,168.94,17.83,Summer,1173,0.05
7,2022,6,2,7,3.97,275.93,19.51,Summer,1449,0.15
8,2022,6,2,8,4.01,490.77,20.78,Summer,1798,0.15
9,2022,6,2,9,4.09,657.17,21.82,Summer,1881,0.15
10,2022,6,2,10,4.17,750.24,22.57,Summer,1869,0.2
11,2022,6,2,11,4.25,770.66,23.19,Summer,2052,0.2
12,2022,6,2,12,4.41,785.04,23.55,Summer,1884,0.2
13,2022,6,2,13,4.53,707.82,23.55,Summer,1875,0.2
14,2022,6,2,14,4.4,607.2,23.37,Summer,1887,0.2
15,2022,6,2,15,4.0,449.18,22.97,Summer,1887,0.15
16,2022,6,2,16,3.42,280.66,22.33,Summer,1881,0.15
17,2022,6,2,17,3.04,122.91,21.3,Summer,1771,0.15
18,2022,6,2,18,3.19,17.08,19.26,Summer,1856,0.2
19,2022,6,2,19,3.23,0.0,17.87,Summer,1866,0.2
20,2022,6,2,20,3.08,0.0,17.17,Summer,1694,0.2
21,2022,6,2,21,2.85,0.0,16.61,Summer,1559,0.15
22,2022,6,2,22,2.28,0.0,16.32,Summer,1479,0.15
23,2022,6,2,23,1.64,0.0,16.29,Summer,1384,0.05
24,2022,6,3,0,0.82,0.0,16.64,Summer,1109,0.05
25,2022,6,3,1,0.94,0.0,16.56,Summer,1170,0.05
26,2022,6,3,2,1.85,0.0,16.04,Summer,1164,0.05
27,2022,6,3,3,2.68,0.0,15.65,Summer,1139,0.05
28,2022,6,3,4,3.51,12.17,15.51,Summer,1136,0.05
29,2022,6,3,5,3.78,75.46,17.08,Summer,1167,0.05
30,2022,6,3,6,3.33,186.72,18.73,Summer,1173,0.05
