YEAR,MO,DY,HR,WS10M,T2M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,WS50M
2022,6,2,0,2.25,13.83,0,0,3.09
2022,6,2,1,2.34,13.62,0,0,3.24
2022,6,2,2,2.66,13.42,0,0,3.77
2022,6,2,3,3.02,13.42,0,0,4.47
2022,6,2,4,3.1,13.82,14.75,13.9,4.76
2022,6,2,5,3.45,16.15,133.05,71.87,4.38
2022,6,2,6,3.34,17.83,313.65,168.94,3.92
2022,6,2,7,3.32,19.51,513.02,275.93,3.97
2022,6,2,8,3.37,20.78,697.1,490.77,4.01
2022,6,2,9,3.49,21.82,835.52,657.17,4.09
2022,6,2,10,3.61,22.57,921.92,750.24,4.17
2022,6,2,11,3.71,23.19,931.3,770.66,4.25
2022,6,2,12,3.89,23.55,904.15,785.04,4.41
2022,6,2,13,3.99,23.55,819.12,707.82,4.53
2022,6,2,14,3.89,23.37,683.15,607.2,4.4
2022,6,2,15,3.53,22.97,509.77,449.18,4
2022,6,2,16,2.97,22.33,317.15,280.66,3.42
2022,6,2,17,2.34,21.3,135.3,122.91,3.04
2022,6,2,18,2.02,19.26,17.23,17.08,3.19
2022,6,2,19,1.96,17.87,0,0,3.23
2022,6,2,20,1.93,17.17,0,0,3.08
2022,6,2,21,1.86,16.61,0,0,2.85
2022,6,2,22,1.6,16.32,0,0,2.28
2022,6,2,23,1.2,16.29,0,0,1.64
2022,6,3,0,0.63,16.64,0,0,0.82
2022,6,3,1,0.73,16.56,0,0,0.94
2022,6,3,2,1.38,16.04,0,0,1.85
2022,6,3,3,1.89,15.65,0,0,2.68
2022,6,3,4,2.34,15.51,12.48,12.17,3.51
2022,6,3,5,3.05,17.08,105.9,75.46,3.78
2022,6,3,6,2.95,18.73,258.15,186.72,3.33
2022,6,3,7,2.7,20.73,431.08,340.48,3.17
2022,6,3,8,2.76,22.06,614.7,540.2,3.26
2022,6,3,9,2.72,23.23,764.27,749.35,3.23
2022,6,3,10,2.5,24.39,850.33,823.81,2.98
2022,6,3,11,2.2,25.55,868.98,846.95,2.62
2022,6,3,12,1.78,26.59,859.08,789.55,2.15
2022,6,3,13,1.22,27.26,772.48,744.21,1.49
2022,6,3,14,0.76,27.49,636.35,578.02,0.83
2022,6,3,15,0.97,27.23,465.05,395.12,0.86
2022,6,3,16,1.42,26.54,281.65,233.95,1.46
2022,6,3,17,1.7,24.8,117.58,98.23,2.15
2022,6,3,18,1.65,22.13,15.95,20.66,2.4
2022,6,3,19,1.16,20.33,0,0,1.71
2022,6,3,20,1.1,19.51,0,0,1.87
2022,6,3,21,1.82,18.58,0,0,3.1
2022,6,3,22,2.66,18.08,0,0,4.31
2022,6,3,23,3.59,18,0,0,5.94
2022,6,4,0,4.38,17.73,0,0,6.89
2022,6,4,1,4.53,17.23,0,0,6.79
2022,6,4,2,4.64,16.88,0,0,6.81
2022,6,4,3,4.26,16.48,0,0,6.57
2022,6,4,4,4.03,16.21,12.8,15.81,6.24
2022,6,4,5,4.52,17.15,103.9,54.32,5.28
2022,6,4,6,4.4,18.75,245.8,163.84,5.1
2022,6,4,7,3.86,20.51,401.12,271.34,4.54
2022,6,4,8,3.38,22.19,564.98,376.52,3.96
2022,6,4,9,2.96,23.65,738.33,450.99,3.46
2022,6,4,10,2.69,24.86,830.48,453.41,3.18
2022,6,4,11,2.53,25.66,802.17,537.42,3.03
2022,6,4,12,2.37,26.14,793.4,423.98,2.9
2022,6,4,13,2.32,26.48,723.23,368.28,2.88
2022,6,4,14,2.35,26.75,595.88,271.8,2.92
2022,6,4,15,2.43,26.73,432.88,256.5,3.04
2022,6,4,16,2.17,26.55,259.98,225.59,2.95
2022,6,4,17,1.87,25.49,108.85,87.04,2.88
2022,6,4,18,1.72,24.44,15.55,18.16,2.81
2022,6,4,19,1.71,23.65,0,0,2.83
2022,6,4,20,2.11,22.65,0,0,3.66
2022,6,4,21,3.29,21.08,0,0,5.56
2022,6,4,22,4.62,19.73,0,0,7.75
2022,6,4,23,5.79,18.74,0,0,9.07
2022,6,5,0,6.01,17.42,0,0,8.72
2022,6,5,1,5.7,16.74,0,0,8.31
2022,6,5,2,5.6,16.58,0,0,8.05
2022,6,5,3,5.71,16.5,0,0,8.01
2022,6,5,4,5.85,16.4,13.17,13.41,7.98
2022,6,5,5,6.1,16.73,113.05,53.49,7.79
2022,6,5,6,6.22,17.47,279.12,151.91,7.51
2022,6,5,7,6.73,18.73,465.05,272.8,8.23
2022,6,5,8,6.53,20.34,639.65,360.21,8.15
2022,6,5,9,4.84,21.29,780.38,442.69,6.17
2022,6,5,10,2.34,21.65,871.77,463.45,2.92
2022,6,5,11,2.16,21.54,907.62,322.93,2.71
2022,6,5,12,3.86,21.51,883.02,321.66,4.89
2022,6,5,13,4.95,21.48,802.45,171.16,6.35
2022,6,5,14,5.56,21.22,671.75,169.41,7.16
2022,6,5,15,5.84,20.97,506.67,138.91,7.59
2022,6,5,16,5.63,20.8,322.1,100.52,7.43
2022,6,5,17,4.63,20.33,144.85,53.16,6.52
2022,6,5,18,2.91,19.23,19.95,15.61,5.27
2022,6,5,19,2.29,18.73,0,0,4.21
2022,6,5,20,2.84,18.35,0,0,4.97
2022,6,5,21,3.64,18.06,0,0,6.18
2022,6,5,22,3.86,17.76,0,0,6.44
2022,6,5,23,3.63,17.37,0,0,6.09
2022,6,6,0,3.46,17,0,0,5.91
2022,6,6,1,3.95,16.78,0,0,6.55
2022,6,6,2,4.76,16.74,0,0,7.07
2022,6,6,3,4.68,16.55,0,0,6.99
2022,6,6,4,4.32,16.48,15.33,16.8,6.46
2022,6,6,5,4.2,16.85,134.62,44.78,5.53
2022,6,6,6,4.03,17.45,315.5,107.12,4.83
2022,6,6,7,4.18,18.43,506.65,244.83,4.95
2022,6,6,8,4.47,19.5,680.7,343.12,5.29
2022,6,6,9,4.79,20.4,818.83,415.2,5.66
2022,6,6,10,5.62,20.54,907.8,527.09,6.65
2022,6,6,11,6.53,20.57,966.98,878.91,7.75
2022,6,6,12,7.12,21.1,941.77,922.95,8.45
2022,6,6,13,7.3,21.55,860,838.19,8.66
2022,6,6,14,7.3,21.52,727.8,587.84,8.69
2022,6,6,15,7.28,21.04,556.95,469.12,8.67
2022,6,6,16,7.25,20.12,362.65,260.66,8.64
2022,6,6,17,7.14,18.8,168.77,126.02,8.63
2022,6,6,18,6.28,17.07,23.4,25.66,8.26
2022,6,6,19,5.52,15.66,0,0,7.89
2022,6,6,20,5.39,14.94,0,0,7.77
2022,6,6,21,5.21,14.3,0,0,7.61
2022,6,6,22,5.07,13.72,0,0,7.5
2022,6,6,23,5.08,13.26,0,0,7.52
2022,6,7,0,5.19,12.92,0,0,7.63
2022,6,7,1,5.2,12.65,0,0,7.67
2022,6,7,2,5.14,12.46,0,0,7.54
2022,6,7,3,5.11,12.47,0,0,7.32
2022,6,7,4,5.05,12.6,15.42,19.03,7.11
2022,6,7,5,5.76,13.79,131.62,114.05,6.85
2022,6,7,6,6.41,15.75,306.9,233.71,7.46
2022,6,7,7,5.95,17.58,491.27,390.39,6.67
2022,6,7,8,4.94,19.28,660.12,579.52,5.48
2022,6,7,9,3.84,20.61,798.33,634.16,4.35
2022,6,7,10,2.9,21.48,888,690.78,3.39
2022,6,7,11,2.28,22.04,978.73,697.64,2.61
2022,6,7,12,1.91,22.21,949.27,768.32,2.16
2022,6,7,13,1.82,21.98,864,547.91,2.08
2022,6,7,14,1.76,21.74,728.12,535.15,2.07
2022,6,7,15,1.83,21.42,552.85,390.38,2.19
2022,6,7,16,2.06,21.05,353.98,246.84,2.52
2022,6,7,17,2.25,20.42,159.15,118.4,3.14
2022,6,7,18,2.25,18.92,21.67,23.88,3.89
2022,6,7,19,2.67,17.65,0,0,4.88
2022,6,7,20,3.3,16.94,0,0,5.92
2022,6,7,21,4.05,16.25,0,0,6.84
2022,6,7,22,4.57,15.48,0,0,7.35
2022,6,7,23,4.62,14.86,0,0,7.37
2022,6,8,0,4.38,14.47,0,0,7
2022,6,8,1,4.03,14.08,0,0,6.56
2022,6,8,2,3.75,13.61,0,0,6.22
2022,6,8,3,3.63,13.08,0,0,5.95
2022,6,8,4,3.55,12.94,11.42,14.11,5.62
2022,6,8,5,4.44,14.43,88.6,78.99,5.1
2022,6,8,6,4.1,16.36,217.08,206.8,4.46
2022,6,8,7,3.48,18.2,380.95,358.65,3.73
2022,6,8,8,2.91,19.87,554.12,515.78,3.15
2022,6,8,9,2.25,21.22,746.48,524.45,2.56
2022,6,8,10,1.88,22.13,863.27,664.13,2.18
2022,6,8,11,1.63,22.71,940.33,804.73,1.86
2022,6,8,12,1.92,23.15,915.58,844.18,2.02
2022,6,8,13,2.73,22.88,831.92,722.16,2.95
2022,6,8,14,2.47,22.49,695.83,618.52,2.65
2022,6,8,15,2.1,22.43,520.02,478.27,2.22
2022,6,8,16,1.8,22.02,324.58,299.17,1.95
2022,6,8,17,1.57,21.43,141.12,124.41,1.86
2022,6,8,18,1.69,19.9,20.35,21.35,2.48
2022,6,8,19,1.89,18.54,0,0,2.94
2022,6,8,20,2.02,17.8,0,0,3.03
2022,6,8,21,1.98,17.24,0,0,2.89
2022,6,8,22,1.44,17.05,0,0,1.99
2022,6,8,23,0.31,17.26,0,0,0.41
