SolarOut,WindOut,Ess,ElectricGridBuy,ElectricGridSell,EssChg,EssDischg,Load,ElectricAbun
0,97.5149,615.649,0,1.41E+09,0,1.41E+09,1109,0
0,125.589,615.649,1044.41,0,0,0,1170,0
0,235.439,615.649,928.561,0,0,0,1164,0
0,405.981,615.649,733.019,0,0,0,1139,0
144.461,485.123,615.649,506.415,0,0,0,1136,0
736.803,382.431,615.649,47.7659,0,0,0,1167,0
1705.94,269.545,1378.01,0,0,802.482,0,1173,0
2741.23,281.209,2872.77,0,0,1573.44,0,1449,0
4752.72,290.647,2872.77,0,3245.36,0,0,1798,0
6235.4,309.806,5540.84,0,1855.71,2808.49,0,1881,0
7031.57,329.344,1959.08,0,8894.59,0,3402.67,1869,0
7190.4,349.26,1959.08,0,5487.66,0,0,2052,0
7303.43,390.228,1959.08,0,5809.66,0,0,1884,0
6636.77,421.948,1959.08,0,5183.72,0,0,1875,0
5755.19,387.623,1959.08,0,4255.81,0,0,1887,0
4331.26,288.278,4554.99,0,0,2732.54,0,1887,0
2757.7,161.034,5540.84,0,0,1037.73,0,1881,0
1230.72,88.4526,5540.84,451.83,0,0,0,1771,0
174.024,116.083,3892.53,0,0,0,1565.89,1856,0
0,123.676,2298.08,227.598,0,0,1514.73,1866,0
0,95.6906,615.649,0,0,0,1598.31,1694,0
0,55.3642,615.649,1503.64,0,0,0,1559,0
0,0,615.649,1479,0,0,0,1479,0
0,0,615.649,1384,0,0,0,1384,0
