Time,Pload,CGbuy,CGsell,Rdg1,Rdg2,PGbuy,PGsell,statoc,Bchg,Bdischg,Pdg1,Pdg2
1,169,90,70,0,1230,0,-992.579,0.525,-68.4211,0,0,0
2,175,90,70,0,4215,0,-4040,0.525,-0,0,0,0
3,179,90,70,0,5243,0,-5064,0.525,-0,0,0,0
4,171,90,70,0,3526,0,-3255,1,-100,0,0,0
5,181,90,70,0,45420,0,-45239,1,-0,0,0,0
6,172,90,70,0,3526,0,-3354,1,-0,0,0,0
7,270,110,90,0,3256,0,-3066,1,-0,0,80,0
8,264,110,90,10,3242,0,-3068,1,-0,0,80,0
9,273,110,90,15,2363,0,-2185,1,-0,0,80,0
10,281,110,90,20,2012,0,-1831,1,-0,0,80,0
11,193,110,90,23,2345,0,-2255,1,-0,0,80,0
12,158,125,105,28,2831,0,-2871,1,-0,0,80,90
13,161,125,105,33,3312,0,-3354,1,-0,0,80,90
14,162,125,105,35,3525,0,-3568,1,-0,0,80,90
15,250,125,105,34,3456,0,-3500,0.526316,-0,90,80,90
16,260,125,105,31,3121,0,-3062,0.526316,-0,0,80,90
17,267,125,105,28,2856,0,-2787,0.526316,-0,0,80,90
18,271,125,105,10,1650,0,-1559,0.526316,-0,0,80,90
19,284,110,90,0,0,14,-0,0,-0,100,80,90
20,167,110,90,0,0,0,-3,0,-0,0,80,90
21,128,110,90,0,0,0,-42,0,-0,0,80,90
22,134,110,90,0,0,0,-36,0,-0,0,80,90
23,144,110,90,0,0,0,-26,0,-0,0,80,90
24,150,110,90,0,0,0,-20,0,-0,0,80,90
