Time,Pload,Hload,CGbuy,CGsell,CHsell,CHbuy,Rdg1,Rdg2,PGbuy,PGsell,statoc,Bchg,Bdischg,Pdg1,Pdg2,Pchp1,Pchp2,Hhob,Hchp1,Hchp2,HGbuy,HGsell,Pevchg1,Pevdischg1,Pevchg2,Pevdischg2,Pevchg3,Pevdischg3,Pevchg4,Pevdischg4,Pevchg5,Pevdischg5
1,169,130,90,70,75,77,0,0,35.3158,-0,0.366667,-26.3158,0,0,0,60,100,0,50,125,-0,-45,-0,0,-0,0,-0,0,-0,0,-0,0
2,175,125,90,70,75,77,0,0,15,-0,0.366667,-0,0,0,0,60,100,0,50,125,-0,-50,-0,0,-0,0,-0,0,-0,0,-0,0
3,179,120,90,70,75,77,0,0,148.789,-0,1,-100,0,0,0,60,100,0,50,125,-0,-55,-29.7889,0,-0,0,-0,0,-0,0,-0,0
4,171,120,90,70,75,77,0,0,11,-0,1,-0,0,0,0,60,100,0,50,125,-0,-55,-0,0,-0,0,-0,0,-0,0,-0,0
5,181,125,90,70,75,77,0,0,63.2222,-0,1,-0,0,0,0,60,100,0,50,125,-0,-50,-0,0,-42.2222,0,-0,0,-0,0,-0,0
6,172,135,90,70,75,77,0,0,12,-0,1,-0,0,0,0,60,100,0,50,125,-0,-40,-0,0,-0,0,-0,0,-0,0,-0,0
7,270,150,110,90,75,77,0,0,69.245,-0,1,-0,0,0,0,60,100,0,50,125,-0,-25,-0,18.1925,-0,22.5625,-0,0,-0,0,-0,0
8,264,160,110,90,75,77,10,10,96.8444,-0,1,-0,0,0,0,60,100,0,50,125,-0,-15,-0,0,-0,0,-12.8444,0,-0,0,-0,0
9,273,175,110,90,80,83,15,15,83,-0,1,-0,0,0,0,60,100,80,50,125,-0,-80,-0,0,-0,0,-0,0,-0,0,-0,0
10,281,190,110,90,80,83,20,20,81,-0,1,-0,0,0,0,60,100,80,50,125,-0,-65,-0,0,-0,0,-0,0,-0,0,-0,0
11,193,195,110,90,80,83,23,23,0,-0,1,-0,0,0,0,60,100,80,50,125,-0,-60,-0,0,-0,0,-0,0,-0,0,-13,0
12,158,200,125,105,80,83,28,28,0,-58,1,-0,0,0,0,60,100,80,50,125,-0,-55,-0,0,-0,0,-0,0,-0,0,-0,0
13,161,195,125,105,80,83,33,33,0,-53.9733,1,-0,0,0,0,60,100,80,50,125,-0,-60,-0,0,-0,0,-0,0,-0,10.64,-21.6667,0
14,162,195,125,105,80,83,35,35,0,-68,1,-0,0,0,0,60,100,80,50,125,-0,-60,-0,0,-0,0,-0,0,-0,0,-0,0
15,250,180,125,105,80,83,34,34,22,-0,1,-0,0,0,0,60,100,80,50,125,-0,-75,-0,0,-0,0,-0,0,-0,0,-0,0
16,260,170,125,105,80,83,31,31,0,-0,0.906667,-0,13.3,0,0,60,100,80,50,125,-0,-85,-0,0,-0,0,-0,0,-0,0,-0,24.7
17,267,185,125,105,80,83,28,28,12.8,-0,0.638596,-0,38.2,0,0,60,100,80,50,125,-0,-70,-0,0,-0,0,-0,0,-0,0,-0,0
18,271,190,125,105,80,83,10,10,0,-0,0,-0,91,0,0,60,100,80,50,125,-0,-65,-0,0,-0,0,-0,0,-0,0,-0,0
19,284,195,110,90,78,78,0,0,124,-0,0,-0,0,0,0,60,100,0,50,125,20,0,-0,0,-0,0,-0,0,-0,0,-0,0
20,167,200,110,90,78,78,0,0,7,-0,0,-0,0,0,0,60,100,0,50,125,25,0,-0,0,-0,0,-0,0,-0,0,-0,0
21,128,195,110,90,78,78,0,0,0,-32,0,-0,0,0,0,60,100,0,50,125,20,0,-0,0,-0,0,-0,0,-0,0,-0,0
22,134,190,110,90,78,78,0,0,0,-26,0,-0,0,0,0,60,100,0,50,125,15,0,-0,0,-0,0,-0,0,-0,0,-0,0
23,144,180,110,90,78,78,0,0,0,-16,0,-0,0,0,0,60,100,0,50,125,5,0,-0,0,-0,0,-0,0,-0,0,-0,0
24,150,175,110,90,78,78,0,0,0,-10,0,-0,0,0,0,60,100,0,50,125,1.19209e-06,0,-0,0,-0,0,-0,0,-0,0,-0,0
